OID_,POU_INDEX,POU_ID,IDU_ID,IDU_WW2100,WRIS_ID,AREA_POU,PERCENT_POU,AREA_IDU,PERCENT_IDU,USECODE,PERMITCODE,XCOORD,YCOORD,CERTIFICATE
793,793,80163,31326,31326,94482,16390441.661430299282074,2.351007408560091,386671.820286635018419,99.655697037942375,1024,4,503485.589300000108778,4877841.168999999761581,-99
794,794,80163,31335,31335,94482,16390441.661430299282074,0.554747366991245,119402.339711645996431,76.150554314600356,1024,4,506435.800099999643862,4878000.519300000742078,-99
795,795,80163,31348,31348,94482,16390441.661430299282074,2.298697664615108,376766.699691399990115,100.000000000000000,1024,4,504107.237800000235438,4878176.256500000134110,-99
796,796,80163,31351,31351,94482,16390441.661430299282074,13.156092728368362,2156803.821373200044036,99.978573952729008,1024,4,506790.418999999761581,4877437.390799999237061,-99
797,797,80163,31430,31430,94482,16390441.661430299282074,0.387180248271470,95453.907435633896966,66.482928171702952,1024,4,504375.695500000379980,4878425.936499999836087,-99
798,798,80163,31709,31709,94482,16390441.661430299282074,0.136304820544540,24962.450672949900763,89.498272368263386,1024,4,504148.784699999727309,4878382.790200000628829,-99
799,799,80163,31732,31732,94482,16390441.661430299282074,1.297509618553456,239201.105303702992387,88.907430762260262,1024,4,503708.805399999953806,4878270.673800000920892,-99
800,800,80163,31761,31761,94482,16390441.661430299282074,0.353061843868502,92237.731957721000072,62.738311447816194,1024,4,505825.593299999833107,4878405.436000000685453,-99
801,801,75629,32850,32850,90654,51476.383521031501004,91.038046472113834,47016.228521202603588,99.674294229930965,16,2,517837.520499999634922,4880226.000299999490380,-99
802,802,75153,31781,31781,90229,75372.016420145795564,1.526814003659309,146365.939209823001875,0.786242009415499,16,4,510256.873200000263751,4878445.483100000768900,-99
803,803,75153,31786,31786,90229,75372.016420145795564,0.577961403874916,21718.046313663598994,2.005802722488174,16,4,510282.873399999924004,4878670.132200000807643,-99
804,804,75153,31797,31797,90229,75372.016420145795564,4.083167959340588,259696.285081042005913,1.185063553687693,16,4,509821.979000000283122,4878498.527499999850988,-99
805,805,75153,31804,31804,90229,75372.016420145795564,27.787689471764015,53866.658968953801377,38.881457050284688,16,4,510200.251199999824166,4878806.808000000193715,-99
806,806,75153,31852,31852,90229,75372.016420145795564,45.317800696659575,34253.039831482397858,99.719441983485297,16,4,510055.520100000314415,4878932.551899999380112,-99
807,807,75153,32206,32206,90229,75372.016420145795564,20.161798430501381,44103.742568715300877,34.455928541569243,16,4,509865.195000000298023,4878889.258400000631809,-99
808,808,78879,35140,35140,93388,100301.780966006001108,1.210513022872327,166170.042025542003103,0.730676905395348,16,2,511659.217199999839067,4883343.398800000548363,-99
809,809,78879,35232,35232,93388,100301.780966006001108,2.700293580183843,29582.901947227201163,9.155432273232348,16,2,512056.271200000308454,4882889.961100000888109,-99
810,810,78879,35274,35274,93388,100301.780966006001108,24.586836008357668,25008.379598125698976,98.611084747858939,16,2,512209.092500000260770,4883067.106499999761581,-99
811,811,78879,35294,35294,93388,100301.780966006001108,61.510131018318759,71705.907854607896297,86.039991308655843,16,2,511982.371000000275671,4883118.973500000312924,-99
812,812,78879,35755,35755,93388,100301.780966006001108,9.770126176005984,370522.434535892971326,2.644808962629937,16,2,512913.808500000275671,4883377.824899999424815,-99
813,813,79405,32866,32866,93838,165252.105945838993648,0.318873189907919,33313.041339897499711,1.581796919239594,16,4,498575.433299999684095,4880282.288100000470877,-99
814,814,79405,33276,33276,93838,165252.105945838993648,5.060898850700228,65583.100104903904139,12.752129614479045,16,4,498388.082799999974668,4880432.445000000298023,-99
815,815,79411,33314,33314,93843,111028.802102945002844,0.790861284322485,29300.575644114898751,2.996814195544948,16,2,499077.503299999982119,4880666.761800000444055,-99
816,816,79405,33323,33323,93838,165252.105945838993648,2.806878962497097,54615.962879566497577,8.492803847668769,16,4,498304.254599999636412,4880739.405799999833107,-99
817,817,79411,33324,33324,93843,111028.802102945002844,0.185427111342984,82192.919313391103060,0.250480822701070,16,2,499304.919800000265241,4880694.024700000882149,-99
818,818,79405,33356,33356,93838,165252.105945838993648,88.570280525058223,154310.381823484000051,94.850555147496436,16,4,498635.483400000259280,4880682.948699999600649,-99
819,819,79411,33723,33723,93843,111028.802102945002844,21.089453095868461,23534.358845586000825,99.494391566128783,16,2,498687.916199999861419,4880946.788899999111891,-99
820,820,79411,33731,33731,93843,111028.802102945002844,51.061858993072960,61985.664009002401144,91.462068331267716,16,2,498887.326799999922514,4880900.312699999660254,-99
821,821,79411,33733,33733,93843,111028.802102945002844,4.436207773360876,23133.901461183300853,21.291127040654267,16,2,499083.963999999687076,4880951.755599999800324,-99
822,822,79411,33746,33746,93843,111028.802102945002844,2.566417418892371,110115.052456460995018,2.587713898864267,16,2,499619.493099999614060,4880916.067399999126792,-99
823,823,75265,32296,32296,90330,201056.778559914993821,22.328023935845948,45220.132832113697077,99.274378092091609,16,2,516282.891499999910593,4879392.879200000315905,-99
824,824,75265,32353,32353,90330,201056.778559914993821,49.233996210346405,99497.633014179897145,99.488082015705643,16,2,516215.993599999696016,4879527.084000000730157,-99
825,825,75265,32357,32357,90330,201056.778559914993821,25.645312742081867,51582.348287188702670,99.959853250130834,16,2,516577.636599999852479,4879533.726500000804663,-99
826,826,76655,38285,38285,91542,63242.291354493398103,95.054592953017846,70258.414868784297141,85.562281377179445,16,2,506966.252399999648333,4887084.019500000402331,-99
827,827,97854,30858,30858,109566,377408.992715227010194,19.488968729906844,74245.211204661201918,99.067831285944592,16,2,509018.242399999871850,4877495.323699999600649,-99
828,828,97854,31206,31206,109566,377408.992715227010194,21.805977200439319,82925.986212485193391,99.242375837430203,16,2,509204.618900000117719,4877583.924300000071526,-99
829,829,97854,31207,31207,109566,377408.992715227010194,10.659186084660755,41135.217330054802005,97.796315286189852,16,2,510278.246199999935925,4877611.780500000342727,-99
830,830,97854,31224,31224,109566,377408.992715227010194,0.835187821968739,120783.576194273002329,2.609687546510911,16,2,509572.002299999818206,4877572.501199999824166,-99
831,831,97854,31240,31240,109566,377408.992715227010194,1.264339308309780,39618.404134062497178,12.044226294042080,16,2,508143.891599999740720,4877753.946499999612570,-99
832,832,97854,31243,31243,109566,377408.992715227010194,9.728182033411969,36725.490652006199525,99.971527051057038,16,2,510620.644899999722838,4877769.687300000339746,-99
833,833,97854,31244,31244,109566,377408.992715227010194,0.396835834542878,92534.022683336806949,1.618533467421642,16,2,510870.041500000283122,4877740.126099999994040,-99
834,834,97854,31263,31263,109566,377408.992715227010194,10.840247614051925,41446.796810841202387,98.709846058184326,16,2,508677.928899999707937,4877899.461799999698997,-99
