t, o
0, 0.588990
0, 0.566337
0, 0.569169
0, 0.603149
0, 0.614476
0, 0.688099
0, 0.645624
0, 0.611644
0, 0.538020
0, 0.509703
0, 0.475723
0, 0.492713
0, 0.501208
0, 0.487050
0, 0.453070
0, 0.450238
0, 0.427584
0, 0.413426
0, 0.379446
0, 0.396436
0, 0.668278
0, 0.784377
0, 1.008080
0, 1.129842
0, 1.557427
0, 1.413011
0, 1.127010
0, 0.908971
0, 0.744733
0, 0.671109
0, 0.597485
0, 0.600317
0, 0.656951
0, 0.617307
0, 0.622971
0, 0.577664
0, 0.535188
0, 0.521030
0, 0.498377
0, 0.515367
0, 0.521030
0, 0.557842
0, 0.634297
0, 0.787208
0, 0.965604
0, 1.010911
0, 1.291248
0, 2.687269
0, 3.992675
0, 3.001586
0, 2.129427
0, 1.560258
0, 1.296912
0, 1.144001
0, 1.033565
0, 0.968436
0, 0.931624
0, 0.883486
0, 0.824020
0, 0.795703
0, 0.758891
0, 0.730575
0, 0.713585
0, 0.710753
0, 0.688099
0, 0.724911
0, 0.773050
0, 0.914634
0, 1.410179
0, 2.050140
0, 1.656536
0, 1.342219
0, 1.152496
0, 1.022238
0, 0.959941
0, 0.928793
0, 1.430001
0, 2.675942
0, 5.295250
0, 5.012082
0, 3.567923
0, 2.860002
0, 2.622140
0, 2.809031
0, 3.058219
0, 4.304161
0, 4.247527
0, 3.426338
0, 3.086536
0, 3.171487
0, 4.134260
0, 4.219210
0, 5.465151
0, 8.749906
0, 6.994261
0, 5.408518
0, 4.530695
0, 3.964359
0, 3.539606
0, 3.171487
0, 2.916635
0, 2.741071
0, 2.568338
0, 2.514536
0, 2.466397
0, 2.395605
0, 2.438080
0, 2.446576
0, 2.457902
0, 2.658952
0, 2.571170
0, 2.333308
0, 2.254021
0, 2.169070
0, 2.194556
0, 3.369705
0, 4.587329
0, 4.219210
0, 3.737824
0, 3.369705
0, 3.341388
0, 3.596240
0, 3.652873
0, 3.341388
0, 3.341388
0, 3.964359
0, 4.700597
0, 8.806539
0, 40.209922
0, 45.590123
0, 32.564374
0, 30.015857
0, 26.278034
0, 20.388130
0, 18.009514
0, 15.687533
0, 13.223967
0, 11.355055
0, 9.429510
0, 8.211886
0, 7.419014
0, 6.796043
0, 6.258023
0, 5.804954
0, 5.351884
0, 5.125349
0, 5.889904
0, 5.691686
0, 5.040399
0, 4.813864
0, 4.700597
0, 5.012082
0, 7.390697
0, 7.362380
0, 6.597825
0, 6.003171
0, 5.465151
0, 5.153666
0, 5.946538
0, 8.353470
0, 10.307332
0, 11.553273
0, 10.647134
0, 9.372876
0, 9.769312
0, 9.259609
0, 9.118025
0, 8.863173
0, 9.004757
0, 13.110700
0, 14.781394
0, 13.337235
0, 11.921392
0, 10.392283
0, 9.202975
0, 8.268519
0, 7.560598
0, 7.050895
0, 6.541192
0, 6.201389
0, 15.177830
0, 13.252284
0, 10.307332
0, 8.834856
0, 7.928717
0, 7.277430
0, 6.880994
0, 6.654459
0, 6.427924
0, 6.852677
0, 6.342974
0, 5.833270
0, 5.550102
0, 5.323567
0, 5.097032
0, 4.927131
0, 4.643963
0, 4.417428
0, 4.275844
0, 4.134260
0, 4.049309
0, 3.964359
0, 3.907725
0, 3.709507
0, 3.652873
0, 3.624556
0, 3.284754
0, 3.313071
0, 3.284754
0, 3.228121
0, 3.426338
0, 3.851091
0, 3.539606
0, 3.171487
0, 3.058219
0, 2.944952
0, 2.888318
0, 2.823190
0, 2.758061
0, 2.695764
0, 2.605150
0, 2.554180
0, 2.455071
0, 2.370120
0, 2.299328
0, 2.237031
0, 2.248358
0, 2.636298
0, 2.639130
0, 2.973269
0, 6.654459
0, 7.758816
0, 6.399607
0, 5.804954
0, 5.918221
0, 5.436835
0, 6.597825
0, 36.811901
0, 33.697047
0, 42.758438
0, 39.360417
0, 27.665559
0, 21.181001
0, 17.301593
0, 14.554859
0, 12.884165
0, 11.355055
0, 10.080797
0, 10.363966
0, 13.025749
0, 13.280601
0, 11.553273
0, 11.723174
0, 11.893076
0, 13.054066
0, 12.742581
0, 12.062977
0, 12.940799
0, 14.951295
0, 16.820207
0, 16.423771
0, 14.866344
0, 12.997433
0, 11.496640
0, 10.647134
0, 9.854263
0, 8.834856
0, 8.070301
0, 7.475648
0, 6.880994
0, 6.427924
0, 6.173073
0, 5.804954
0, 5.493468
0, 5.181983
0, 5.125349
0, 4.870498
0, 4.927131
0, 4.813864
0, 4.587329
0, 6.286340
0, 13.337235
0, 14.498225
0, 11.100204
0, 8.976440
0, 8.098618
0, 7.249113
0, 7.192479
0, 7.390697
0, 11.383372
0, 13.875255
0, 14.073473
0, 12.431096
0, 10.845352
0, 9.514460
0, 8.381787
0, 7.532281
0, 6.796043
0, 6.173073
0, 5.720003
0, 5.465151
0, 5.210300
0, 4.870498
0, 4.785547
0, 4.757230
0, 4.502379
0, 4.162576
0, 4.304161
0, 7.560598
0, 11.524957
0, 12.657630
0, 9.599411
0, 7.787133
0, 6.994261
0, 6.342974
0, 5.691686
0, 5.266933
0, 4.898814
0, 4.672280
0, 4.898814
0, 4.757230
0, 4.870498
0, 4.389111
0, 3.992675
0, 3.794457
0, 3.737824
0, 3.398022
0, 3.199804
0, 3.086536
0, 3.086536
0, 3.058219
0, 2.973269
0, 2.766556
0, 2.576833
0, 2.457902
0, 2.381447
0, 2.268179
0, 2.166239
0, 2.174734
0, 2.106773
0, 2.061466
0, 2.072793
0, 2.067130
0, 2.041645
0, 1.982179
0, 1.894397
0, 1.747149
0, 1.642377
0, 1.565922
0, 1.537605
0, 1.418674
0, 1.342219
0, 1.282753
0, 1.234615
0, 1.240278
0, 1.214793
0, 1.172317
0, 1.124179
0, 1.059050
0, 1.013743
0, 0.954278
0, 0.937288
0, 0.894812
0, 0.855169
0, 0.824020
0, 0.835347
0, 0.798535
0, 0.787208
0, 0.744733
0, 0.724911
0, 0.705089
0, 0.673941
0, 0.662614
0, 0.634297
0, 0.645624
0, 0.645624
0, 0.634297
0, 0.600317
0, 0.566337
0, 0.555010
0, 0.549347
0, 0.563505
0, 0.563505
0, 0.591822
0, 0.574832
0, 0.560674
0, 0.560674
0, 0.546515
0, 0.518198
0, 0.495545
0, 0.481386
0, 0.470060
0, 0.501208
0, 0.563505
0, 0.529525
0, 0.523862
0, 0.492713
0, 0.492713
0, 0.484218
0, 0.455901
0, 0.453070
0, 0.444574
0, 0.436079
0, 0.433248
0, 0.509703
0, 0.555010
0, 0.515367
0, 0.523862
0, 0.506872
0, 0.472891
0, 0.478555
0, 0.543683
0, 0.518198
0, 0.509703
0, 0.495545
0, 0.478555
0, 0.430416
0, 0.421921
0, 0.430416
0, 0.470060
0, 0.492713
0, 0.521030
0, 0.546515
0, 0.569169
0, 0.588990
0, 0.773050
0, 0.826852
0, 1.067545
0, 1.050555
0, 0.920298
0, 0.801367
0, 0.702258
0, 0.648456
0, 0.654119
0, 0.654119
0, 0.688099
0, 0.665446
0, 0.628634
0, 0.608812
