station_nbr	record_date	mean_daily_flow_cfs	published_status	estimated	revised	download_date
14171000	08-06-2013	22   	Published			09-07-2017 18:47
14171000	08-07-2013	21   	Published			09-07-2017 18:47
14171000	08-08-2013	22   	Published			09-07-2017 18:47
14171000	08-09-2013	22   	Published			09-07-2017 18:47
14171000	08-10-2013	21   	Published			09-07-2017 18:47
14171000	08-11-2013	23   	Published			09-07-2017 18:47
14171000	08-12-2013	23   	Published			09-07-2017 18:47
14171000	08-13-2013	23   	Published			09-07-2017 18:47
14171000	08-14-2013	23   	Published			09-07-2017 18:47
14171000	08-15-2013	21   	Published			09-07-2017 18:47
14171000	08-16-2013	21   	Published			09-07-2017 18:47
14171000	08-17-2013	21   	Published			09-07-2017 18:47
14171000	08-18-2013	21   	Published			09-07-2017 18:47
14171000	08-19-2013	19   	Published			09-07-2017 18:47
14171000	08-20-2013	18   	Published			09-07-2017 18:47
14171000	08-21-2013	17   	Published			09-07-2017 18:47
14171000	08-22-2013	16   	Published			09-07-2017 18:47
14171000	08-23-2013	18   	Published			09-07-2017 18:47
14171000	08-24-2013	18   	Published			09-07-2017 18:47
14171000	08-25-2013	19   	Published			09-07-2017 18:47
14171000	08-26-2013	20   	Published			09-07-2017 18:47
14171000	08-27-2013	19   	Published			09-07-2017 18:47
14171000	08-28-2013	18   	Published			09-07-2017 18:47
14171000	08-29-2013	19   	Published			09-07-2017 18:47
14171000	08-30-2013	21   	Published			09-07-2017 18:47
14171000	08-31-2013	19   	Published			09-07-2017 18:47
14171000	09-01-2013	18   	Published			09-07-2017 18:47
14171000	09-02-2013	18   	Published			09-07-2017 18:47
14171000	09-03-2013	17   	Published			09-07-2017 18:47
14171000	09-04-2013	16   	Published			09-07-2017 18:47
14171000	09-05-2013	30   	Published			09-07-2017 18:47
14171000	09-06-2013	54   	Published			09-07-2017 18:47
14171000	09-07-2013	54   	Published			09-07-2017 18:47
14171000	09-08-2013	37   	Published			09-07-2017 18:47
14171000	09-09-2013	28   	Published			09-07-2017 18:47
14171000	09-10-2013	25   	Published			09-07-2017 18:47
14171000	09-11-2013	22   	Published			09-07-2017 18:47
14171000	09-12-2013	21   	Published			09-07-2017 18:47
14171000	09-13-2013	20   	Published			09-07-2017 18:47
14171000	09-14-2013	19   	Published			09-07-2017 18:47
14171000	09-15-2013	20   	Published			09-07-2017 18:47
14171000	09-16-2013	21   	Published			09-07-2017 18:47
14171000	09-17-2013	21   	Published			09-07-2017 18:47
14171000	09-18-2013	23   	Published			09-07-2017 18:47
14171000	09-19-2013	22   	Published			09-07-2017 18:47
14171000	09-20-2013	22   	Published			09-07-2017 18:47
14171000	09-21-2013	23   	Published			09-07-2017 18:47
14171000	09-22-2013	26   	Published			09-07-2017 18:47
14171000	09-23-2013	29   	Published			09-07-2017 18:47
14171000	09-24-2013	35   	Published			09-07-2017 18:47
14171000	09-25-2013	42   	Published			09-07-2017 18:47
14171000	09-26-2013	41   	Published			09-07-2017 18:47
14171000	09-27-2013	36   	Published			09-07-2017 18:47
14171000	09-28-2013	82   	Published			09-07-2017 18:47
14171000	09-29-2013	506   	Published			09-07-2017 18:47
14171000	09-30-2013	1070   	Published			09-07-2017 18:47
14171000	10-01-2013	678   	Published			09-07-2017 18:47
14171000	10-02-2013	501   	Published			09-07-2017 18:47
14171000	10-03-2013	357   	Published			09-07-2017 18:47
14171000	10-04-2013	255   	Published			09-07-2017 18:47
14171000	10-05-2013	196   	Published			09-07-2017 18:47
14171000	10-06-2013	158   	Published			09-07-2017 18:47
14171000	10-07-2013	131   	Published			09-07-2017 18:47
14171000	10-08-2013	120   	Published			09-07-2017 18:47
14171000	10-09-2013	117   	Published			09-07-2017 18:47
14171000	10-10-2013	106   	Published			09-07-2017 18:47
14171000	10-11-2013	93   	Published			09-07-2017 18:47
14171000	10-12-2013	85   	Published			09-07-2017 18:47
14171000	10-13-2013	81   	Published			09-07-2017 18:47
