REGION,PVT,PVTto,VEGCLASSfrom,VEGCLASSto,ABBREVfrom,ABBREVto,STARTAGE,ENDAGE,RNDAGE,LAI,CARBON
1,6,6,2506210,3507320,Al:Sm1,DFal:Mc2,51,70,65,4.000000,0.000000
1,6,6,2506110,3507320,Al:So1,DFal:Mc2,51,70,66,4.000000,0.000000
1,6,6,2504100,2505310,Al:Yo,Al:Pc1,11,25,17,3.000000,0.000000
1,6,6,4009210,4009210,DF:Gm1,DF:Gm1,176,999,333,8.000000,0.000000
1,6,6,4009110,4009110,DF:Go1,DF:Go1,176,999,334,8.000000,0.000000
1,6,6,4008110,4009110,DF:Lo1,DF:Go1,101,175,110,8.000000,0.000000
1,6,6,4005310,4006210,DF:Pc1,DF:Sm1,26,50,36,5.000000,0.000000
1,6,6,4006310,4007320,DF:Sc1,DF:Mc2,51,70,52,8.000000,0.000000
1,6,6,4006210,4007410,DF:Sm1,DF:M1p,51,70,53,8.000000,0.000000
1,6,6,4006110,4007410,DF:So1,DF:M1p,51,70,54,8.000000,0.000000
1,6,6,3509220,3509220,DFal:Gm2,DFal:Gm2,176,999,340,6.000000,0.000000
1,6,6,3507320,4008320,DFal:Mc2,DF:Lc2,71,100,86,6.000000,0.000000
1,6,6,3506320,3507320,DFal:Sc2,DFal:Mc2,51,70,57,6.000000,0.000000
1,6,6,3503300,4002000,DFal:SHc,DF:GF,0,8,5,1.000000,0.000000
1,6,6,4058320,4009320,DFmx:Lc2,DF:Gc2,101,175,119,6.000000,0.000000
1,6,6,4055310,4006310,DFmx:Pc1,DF:Sc1,11,25,15,6.000000,0.000000
1,6,6,4056320,4357320,DFmx:Sc2,SFDF:Mc2,51,70,61,6.000000,0.000000
1,6,6,4109220,4109220,DFWF:Gm2,DFWF:Gm2,176,999,347,2.500000,0.000000
1,6,6,4108220,4109220,DFWF:Lm2,DFWF:Gm2,101,175,123,2.500000,0.000000
1,6,6,4107220,4108220,DFWF:Mm2,DFWF:Lm2,71,100,94,2.500000,0.000000
1,6,6,4209320,4209320,DG:Gc2,DG:Gc2,176,999,350,8.000000,0.000000
1,6,6,4207320,4008320,DG:Mc2,DF:Lc2,71,100,96,8.000000,0.000000
1,6,6,6055210,4006210,MH:Pm1,DF:Sm1,11,25,22,5.000000,0.000000
1,6,6,2057210,4008220,PK:Mm1,DF:Lm2,71,100,98,5.000000,0.000000
1,6,6,4359320,4359320,SFDF:Gc2,SFDF:Gc2,176,999,354,7.000000,0.000000
1,6,6,4352000,4354100,SFDF:GF,SFDF:Yo,0,10,3,3.000000,0.000000
1,6,6,4359220,4359220,SFDF:Gm2,SFDF:Gm2,176,999,356,7.000000,0.000000
1,6,6,4358320,4359320,SFDF:Lc2,SFDF:Gc2,101,175,132,7.000000,0.000000
1,6,6,4358220,4359220,SFDF:Lm2,SFDF:Gm2,101,175,133,7.000000,0.000000
1,6,6,4357320,4358320,SFDF:Mc2,SFDF:Lc2,71,100,74,7.000000,0.000000
1,6,6,4357220,4358220,SFDF:Mm2,SFDF:Lm2,71,100,75,7.000000,0.000000
1,6,6,4355210,4356220,SFDF:Pm1,SFDF:Sm2,26,50,36,7.000000,0.000000
1,6,6,4356320,4357320,SFDF:Sc2,SFDF:Mc2,51,70,57,7.000000,0.000000
1,6,6,4356220,4357220,SFDF:Sm2,SFDF:Mm2,51,70,58,7.000000,0.000000
1,6,6,4354100,4355210,SFDF:Yo,SFDF:Pm1,11,25,19,6.000000,0.000000
1,6,6,4459320,4459320,WH:Gc2,WH:Gc2,176,999,365,7.000000,0.000000
1,1,1,4009410,4009410,DF:G1p,DF:G1p,131,999,321,8.000000,0.000000
1,1,1,4009320,4009320,DF:Gc2,DF:Gc2,146,999,337,8.000000,0.000000
1,1,1,4002000,4004100,DF:GF,DF:Yo,1,8,1,0.500000,0.000000
1,1,1,4002100,4004400,DF:GFp,DF:Yop,1,8,2,0.500000,0.000000
1,1,1,4009220,4009220,DF:Gm2,DF:Gm2,131,180,175,8.000000,0.000000
1,1,1,4009110,4009220,DF:Go1,DF:Gm2,131,150,146,8.000000,0.000000
1,1,1,4008410,4009110,DF:L1p,DF:Go1,86,130,102,8.000000,0.000000
1,1,1,4008320,4009320,DF:Lc2,DF:Gc2,86,145,103,8.000000,0.000000
1,1,1,4008220,4009220,DF:Lm2,DF:Gm2,86,130,104,8.000000,0.000000
1,1,1,4008110,4009110,DF:Lo1,DF:Go1,86,130,105,8.000000,0.000000
1,1,1,4007410,4008110,DF:M1p,DF:Lo1,66,85,66,8.000000,0.000000
1,1,1,4007320,4008320,DF:Mc2,DF:Lc2,66,90,67,8.000000,0.000000
1,1,1,4007220,4008220,DF:Mm2,DF:Lm2,66,90,68,8.000000,0.000000
1,1,1,4007110,4008110,DF:Mo1,DF:Lo1,66,85,69,8.000000,0.000000
1,1,1,4005210,4006110,DF:Pm1,DF:So1,26,45,30,8.000000,0.000000
1,1,1,4006220,4007220,DF:Sm2,DF:Mm2,46,70,51,8.000000,0.000000
1,1,1,4006110,4007110,DF:So1,DF:Mo1,46,65,52,8.000000,0.000000
1,1,1,4004100,4005210,DF:Yo,DF:Pm1,9,25,12,3.000000,0.000000
1,1,1,4004400,4005210,DF:Yop,DF:Pm1,9,25,13,3.000000,0.000000
1,1,1,3752000,3754100,DO:GF,DO:Yo,1,12,6,0.600000,0.000000
1,1,1,3752100,3754100,DO:GFp,DO:Yo,1,12,7,0.600000,0.000000
1,1,1,3758320,3758320,DO:Lc2,DO:Lc2,111,135,122,8.000000,0.000000
1,1,1,3757320,3758320,DO:Mc2,DO:Lc2,81,110,83,8.000000,0.000000
1,1,1,3755210,3756320,DO:Pm1,DO:Sc2,31,55,44,8.000000,0.000000
