WATERRIGHTID,X,Y,PODID,POUID,PERMITCODE,PODRATE,USECODE,PRIORITYDOY,YEAR,BEGINDOY,ENDDOY,REACHCOMID,LENGTH_OR_COMID,SPECIAL,CERTIFICATE
53107,529158.33,5030934.95,79,3041,2,0.13,16,365,1910,1,365,23815512,1920.56,0,-99
26396,488081.1,4971355.69,77,1325,4,1.7824,16,365,1910,60,304,23791149,2360.45,0,-99
26398,488609.85,4971886.13,78,1327,4,1.085,16,365,1910,60,304,23791157,5341.98,0,-99
128002,466599.62,4930258.58,80,13474,2,0.05,16,48,1911,1,365,23764767,2768.35,0,-99
143653,492589.66,5046396.06,81,13916,2,0.19,16,58,1911,1,365,23805010,1505.23,0,-99
52837,535855.95,5019900.5,82,3033,2,0.24,16,117,1911,1,365,23791643,726.82,0,-99
104657,518071.62,4960441.53,83,11579,2,0.03,16,175,1911,1,365,23780475,1724.04,0,-99
105677,518071.62,4960441.53,84,11696,2,1.28,16,175,1911,1,365,23780475,1724.04,0,-99
53335,499827.82,4853283.34,85,3051,2,1.03,16,210,1911,1,365,23759628,1372.85,0,-99
53257,485250.06,5059193.66,86,3048,2,0.25,16,235,1911,1,365,23805328,9136.11,0,-99
53262,521175.26,4941487.37,87,3049,2,0.13,16,249,1911,1,365,23786219,3339.79,0,-99
128003,466605.93,4930245.81,88,13475,2,0.06,16,251,1911,1,365,23764767,2768.35,0,-99
53148,508411.97,4889622.01,89,3042,2,0.5,16,296,1911,1,365,23774043,3916.49,0,-99
53180,514860.79,4892542.8,90,3045,2,0.07,16,301,1911,1,365,23773535,3819.17,0,-99
53766,528861.03,5031207.11,91,3057,2,0.03,16,303,1911,1,365,23815512,1920.56,0,-99
53182,508871.72,4887562.01,92,3046,2,0.44,16,331,1911,1,365,23774077,3868.5,0,-99
27684,480270.65,4932433.24,93,2133,4,1.2254,16,365,1911,60,304,23763009,3326.81,0,-99
53661,490237.66,4969892.34,94,3056,2,0.088,16,80,1912,1,366,23792303,757,0,-99
53295,517591.33,5035247.26,95,3050,2,0.05,16,209,1912,1,366,23805284,3569.58,0,-99
53156,522751.54,5014065.15,96,3043,2,0.35,16,359,1912,1,366,23800828,4717.06,0,-99
54010,513204.9,5036507.71,97,3058,2,0.02,16,361,1912,1,366,23805854,3392.88,0,-99
28380,474497.5,4912962.64,98,2539,4,0.2005,16,366,1912,61,305,23762979,2820.05,0,-99
96629,487384.08,5051230.98,99,10061,2,0.89,16,153,1913,1,365,23805544,2050.51,0,-99
96629,487384.08,5051230.98,100,10061,2,0.89,16,153,1913,1,365,23805544,2050.51,0,-99
53627,489012.05,4993836.13,101,3054,2,0.2,16,195,1913,1,365,23797429,3942.85,0,-99
128375,501073.97,4965816.12,102,13501,2,0.131,16,33,1914,1,365,23791437,3989.28,0,-99
53533,467669.31,4965286.16,103,3053,2,0.15,16,93,1914,1,365,23764073,1499.47,0,-99
53157,534245.59,5031132.99,104,3044,2,18.3,16,210,1914,1,365,23815514,5280.09,0,-99
103608,497852.62,4880406.54,105,11465,2,3.48,16,36,1915,1,365,23772741,560.79,0,-99
101870,505158.34,4955914.26,106,11137,2,0.34,16,354,1915,1,365,23781127,701.61,0,-99
26813,517838.22,5016227.55,107,1577,4,0.0446,16,365,1915,60,304,23791717,1717.12,0,-99
28726,516893.52,5016724.58,108,2728,4,0.0379,16,365,1915,60,304,23791717,1717.12,0,-99
54821,504562.66,4955215.16,109,3060,2,0.125,16,85,1916,1,366,23781179,1459.97,0,-99
145761,495277.17,5030109.73,110,14016,2,0.31,16,30,1917,1,365,23805908,2254.98,0,-99
82078,491466.98,4988508.51,111,6698,2,0.063,16,80,1917,1,365,23791485,3651.55,0,-99
55604,505550.45,4956348.61,112,3061,2,0.05,16,219,1917,1,365,23781127,701.61,0,-99
54406,510562.81,4965053.71,113,3059,2,0.13,16,225,1917,1,365,23791203,6082.55,0,-99
60379,472442.33,4897508.7,114,3138,2,0.13,16,134,1918,1,365,23765231,4781.05,0,-99
25041,496998.81,4876520.23,115,469,4,0.022,16,151,1918,60,304,23763435,639,0,-99
56101,494042.8,5029132.05,116,3064,2,0.13,16,220,1918,1,365,23805972,2733.4,0,-99
55936,484559.54,5032216.33,117,3063,2,0.04,16,256,1918,1,365,23805860,2446.73,0,-99
28535,508456.99,5034061.96,118,2630,4,0.0557,16,365,1918,60,304,23805870,2249.12,0,-99
62143,484198.19,5030933.58,119,3215,2,0.18,16,238,1919,1,365,23805884,2146.54,0,-99
62143,484394.29,5030742.66,120,3215,2,0.18,16,238,1919,1,365,23805958,3815.66,0,-99
62146,520201.53,5008020.4,122,3216,2,0.25,16,155,1920,1,366,23800594,8243.58,0,-99
62146,520227.46,5007757.24,121,3216,2,0.25,16,155,1920,1,366,23800594,8243.58,0,-99
58698,494243.06,4972091.38,123,3076,2,0.04,16,156,1920,1,366,23792611,6312.11,0,-99
55832,526260.49,5016972.41,124,3062,2,0.04,16,196,1920,1,366,23791401,1834.19,0,-99
60870,493817.87,4977477.7,125,3161,2,0.03,16,210,1920,1,366,23791469,6918,0,-99
58699,494229.91,4975220.15,126,3077,2,0.05,16,226,1920,1,366,23791091,2835.96,0,-99
57184,483636.21,5006799.42,127,3067,2,0.1,16,230,1920,1,366,23797257,1501.04,0,-99
81561,519900.46,5007601.14,128,6541,2,0.1,16,258,1920,1,366,23800594,8243.58,0,-99
81561,520141.79,5007896.85,129,6541,2,0.1,16,258,1920,1,366,23800594,8243.58,0,-99
132725,490127.48,4986671.01,130,13595,2,0.28,16,274,1920,1,366,23792029,2451.5,0,-99
132725,490127.48,4986671.01,131,13595,2,0.28,16,274,1920,1,366,23792029,2451.5,0,-99
56163,514065.46,4861828.05,132,3065,2,0.2,16,323,1920,1,366,23751804,6483.56,0,-99
26073,500609.65,4950010.47,133,1128,4,0.8912,16,355,1920,61,305,23781281,5860.95,0,-99
25211,473692.72,4922879.72,134,570,4,0.0356,16,366,1920,61,305,23763767,1564.31,0,-99
