UGB_DH_ID,UGB_name,pop1950,pop1955,pop1960,pop1965,pop1970,pop1975,pop1980,pop1985,pop1990,pop1995,pop2000,pop2005,pop2010,pop2015,pop2020,pop2025,pop2030,pop2035,pop2040,pop2045,pop2050,pop2055,pop2060,pop2065,pop2070,pop2075,pop2080,pop2085,pop2090,pop2095,pop2100
1065,Woodburn,24616.55368,24616.55368,24616.55368,24616.55368,24616.55368,24616.55368,24616.55368,24616.55368,24616.55368,24616.55368,24616.55368,24616.55368,24616.55368,25998.71326,28066.01531,30341.01157,32582.8057,34694.7529,36709.7478,38690.2898,40677.75289,42828.29734,44944.2655,47037.40972,49108.65707,51183.98284,53267.02941,55366.40084,57468.60658,59568.0272,61663.20574
1066,Hubbard,3297.295218,3297.295218,3297.295218,3297.295218,3297.295218,3297.295218,3297.295218,3297.295218,3297.295218,3297.295218,3297.295218,3297.295218,3297.295218,3482.430321,3759.337691,4064.064925,4364.344856,4647.232278,4917.133303,5182.41949,5448.632731,5736.690109,6020.116124,6300.484957,6577.920786,6855.902904,7134.919196,7416.12214,7697.704729,7978.914262,8259.555585
1067,St. Paul,428.387422,428.387422,428.387422,428.387422,428.387422,428.387422,428.387422,428.387422,428.387422,428.387422,428.387422,428.387422,428.387422,452.440334,488.416377,528.0068,567.019426,603.772403,638.838176,673.304384,707.891037,745.315699,782.13865,818.564409,854.60911,890.724785,926.974821,963.508948,1000.0924,1036.627383,1073.088545
1068,Donald,983.254166,983.254166,983.254166,983.254166,983.254166,983.254166,983.254166,983.254166,983.254166,983.254166,983.254166,983.254166,983.254166,1038.461495,1121.035334,1211.905063,1301.448606,1385.805698,1466.290243,1545.398643,1624.783491,1710.682265,1795.199965,1878.806014,1961.53744,2044.431769,2127.634489,2211.48927,2295.45726,2379.314005,2463.00131
1069,Dayton,2718.075587,2718.075587,2718.075587,2718.075587,2718.075587,2718.075587,2718.075587,2718.075587,2718.075587,2718.075587,2718.075587,2718.075587,2718.075587,2887.744419,3188.851123,3529.732091,3861.467134,4166.668255,4446.617233,4710.051511,4968.179536,5263.08283,5556.514398,5843.985768,6126.04248,6406.292725,6687.130054,6970.881109,7262.3864,7552.516803,7841.326109
1070,Aurora,987.586152,987.586152,987.586152,987.586152,987.586152,987.586152,987.586152,987.586152,987.586152,987.586152,987.586152,987.586152,987.586152,1043.036481,1125.974485,1217.244881,1307.183165,1391.911942,1472.750908,1552.207469,1631.941615,1718.218031,1803.10793,1887.082108,1970.177765,2053.437083,2137.00615,2221.230166,2305.567932,2389.793986,2473.849845
1071,McMinnville,32606.50468,32606.50468,32606.50468,32606.50468,32606.50468,32606.50468,32606.50468,32606.50468,32606.50468,32606.50468,32606.50468,32606.50468,32606.50468,34641.88132,38254.00941,42343.27643,46322.82736,49984.07279,53342.38912,56502.59227,59599.14068,63136.85159,66656.90741,70105.46367,73489.06475,76850.99515,80219.9683,83623.89501,87120.84289,90601.29736,94065.90372
1072,Lafayette,3701.936322,3701.936322,3701.936322,3701.936322,3701.936322,3701.936322,3701.936322,3701.936322,3701.936322,3701.936322,3701.936322,3701.936322,3701.936322,3933.020114,4343.118292,4807.387807,5259.200851,5674.875501,6056.157499,6414.946977,6766.5095,7168.158822,7567.803697,7959.330965,8343.483632,8725.175947,9107.667852,9494.128162,9891.149508,10286.2983,10679.64779
1073,Barlow,135.311269,135.311269,135.311269,135.311269,135.311269,135.311269,135.311269,135.311269,135.311269,135.311269,135.311269,135.311269,135.311269,142.252546,154.650684,168.052098,181.034907,192.722944,203.300756,213.134638,222.776025,232.307975,243.465807,254.35433,264.990059,275.764693,286.576051,297.524478,308.606093,319.735965,330.82092
1074,Dundee,3152.007727,3152.007727,3152.007727,3152.007727,3152.007727,3152.007727,3152.007727,3152.007727,3152.007727,3152.007727,3152.007727,3152.007727,3152.007727,3348.76365,3697.941084,4093.242616,4477.938105,4831.863618,5156.505561,5461.996285,5761.33363,6103.317299,6443.594285,6776.959548,7104.045719,7429.037026,7754.709143,8083.760153,8421.803339,8758.252139,9093.168934
1075,Canby,16855.14592,16855.14592,16855.14592,16855.14592,16855.14592,16855.14592,16855.14592,16855.14592,16855.14592,16855.14592,16855.14592,16855.14592,16855.14592,17719.79104,19264.17403,20933.53093,22550.7439,24006.67262,25324.30535,26549.26998,27750.2564,28937.61052,30327.49402,31683.8307,33008.67798,34350.82802,35697.55259,37061.35136,38441.74075,39828.14125,41208.94674
1076,Carlton,2013.845687,2013.845687,2013.845687,2013.845687,2013.845687,2013.845687,2013.845687,2013.845687,2013.845687,2013.845687,2013.845687,2013.845687,2013.845687,2139.554791,2362.64735,2615.209004,2860.994363,3087.120511,3294.537128,3489.71786,3680.967144,3899.463543,4116.869527,4329.859549,4538.837804,4746.477632,4954.552435,5164.786043,5380.764833,5595.724954,5809.706265
